region,year,acc_cl_nm,acc_cnt,acc_cnt_cmrt,dth_dnv_cnt,dth_dnv_cnt_cmrt,ftlt_rate,injpsn_cnt,injpsn_cnt_cmrt,tot_acc_cnt,tot_dth_dnv_cnt,tot_injpsn_cnt
철원군,2012,자전거사고,1,0.03,0,0.0,0.0,1,0.03,3547,101,3680
철원군,2012,야간사고,68,0.06,4,0.14,5.88,89,0.05,107127,2805,165925
철원군,2012,어린이보행사고,4,0.08,0,0.0,0.0,4,0.07,5247,54,5347
철원군,2012,고령운전자사고,14,0.09,1,0.14,7.14,33,0.15,15190,718,22043
철원군,2012,고령보행자사고,12,0.13,3,0.31,25.0,10,0.12,9515,959,8651
철원군,2012,뺑소니사고,7,0.06,0,0.0,0.0,7,0.04,11452,234,18261
철원군,2012,무면허사고,5,0.06,0,0.0,0.0,9,0.08,8185,365,11867
춘천시,2012,전체사고,1916,0.87,34,0.64,1.77,3043,0.9,223656,5392,344565
춘천시,2012,어린이사고,141,1.13,0,0.0,0.0,179,1.16,12497,83,15485
춘천시,2012,고령자사고,260,0.92,9,0.48,3.46,295,0.99,28185,1864,29699
춘천시,2012,보행자사고,394,0.77,8,0.39,2.03,413,0.8,51044,2027,51693
춘천시,2012,자전거사고,11,0.31,1,0.99,9.09,10,0.27,3547,101,3680
춘천시,2012,야간사고,819,0.76,14,0.5,1.71,1337,0.81,107127,2805,165925
춘천시,2012,어린이보행사고,37,0.71,0,0.0,0.0,38,0.71,5247,54,5347
춘천시,2012,스쿨존내어린이사고,1,0.2,0,0.0,0.0,1,0.19,511,6,528
춘천시,2012,고령운전자사고,138,0.91,4,0.56,2.9,230,1.04,15190,718,22043
춘천시,2012,고령보행자사고,77,0.81,4,0.42,5.19,74,0.86,9515,959,8651
춘천시,2012,뺑소니사고,123,1.07,2,0.85,1.63,182,1.0,11452,234,18261
춘천시,2012,무면허사고,64,0.78,3,0.82,4.69,88,0.74,8185,365,11867
태백시,2012,전체사고,195,0.09,4,0.08,2.05,301,0.09,223656,5392,344565
태백시,2012,어린이사고,17,0.14,0,0.0,0.0,18,0.12,12497,83,15485
태백시,2012,고령자사고,29,0.1,1,0.05,3.45,31,0.1,28185,1864,29699
태백시,2012,보행자사고,52,0.1,3,0.15,5.77,53,0.1,51044,2027,51693
태백시,2012,자전거사고,1,0.03,0,0.0,0.0,2,0.05,3547,101,3680
태백시,2012,야간사고,61,0.06,4,0.14,6.56,94,0.06,107127,2805,165925
태백시,2012,어린이보행사고,7,0.13,0,0.0,0.0,7,0.13,5247,54,5347
태백시,2012,스쿨존내어린이사고,1,0.2,0,0.0,0.0,1,0.19,511,6,528
태백시,2012,고령운전자사고,16,0.11,0,0.0,0.0,23,0.1,15190,718,22043
태백시,2012,고령보행자사고,12,0.13,1,0.1,8.33,11,0.13,9515,959,8651
태백시,2012,뺑소니사고,7,0.06,1,0.43,14.29,8,0.04,11452,234,18261
태백시,2012,무면허사고,2,0.02,0,0.0,0.0,2,0.02,8185,365,11867
평창군,2012,전체사고,248,0.11,17,0.32,6.85,525,0.16,223656,5392,344565
평창군,2012,어린이사고,29,0.23,0,0.0,0.0,37,0.24,12497,83,15485
평창군,2012,고령자사고,37,0.13,5,0.27,13.51,41,0.14,28185,1864,29699
평창군,2012,보행자사고,32,0.06,1,0.05,3.13,33,0.06,51044,2027,51693
평창군,2012,야간사고,63,0.06,2,0.07,3.17,125,0.08,107127,2805,165925
평창군,2012,어린이보행사고,6,0.11,0,0.0,0.0,6,0.11,5247,54,5347
평창군,2012,고령운전자사고,16,0.11,4,0.56,25.0,23,0.1,15190,718,22043
평창군,2012,고령보행자사고,3,0.03,1,0.1,33.33,2,0.02,9515,959,8651
평창군,2012,뺑소니사고,10,0.09,0,0.0,0.0,27,0.15,11452,234,18261
평창군,2012,무면허사고,11,0.13,2,0.55,18.18,10,0.08,8185,365,11867
홍천군,2012,전체사고,378,0.17,28,0.53,7.41,699,0.21,223656,5392,344565
홍천군,2012,어린이사고,31,0.25,0,0.0,0.0,44,0.28,12497,83,15485
홍천군,2012,고령자사고,65,0.23,13,0.7,20.0,77,0.26,28185,1864,29699
홍천군,2012,보행자사고,66,0.13,5,0.25,7.58,65,0.13,51044,2027,51693
홍천군,2012,자전거사고,1,0.03,0,0.0,0.0,1,0.03,3547,101,3680
홍천군,2012,야간사고,119,0.11,10,0.36,8.4,183,0.11,107127,2805,165925
홍천군,2012,어린이보행사고,9,0.17,0,0.0,0.0,9,0.17,5247,54,5347
홍천군,2012,스쿨존내어린이사고,1,0.2,0,0.0,0.0,1,0.19,511,6,528
홍천군,2012,고령운전자사고,38,0.25,10,1.39,26.32,73,0.33,15190,718,22043
홍천군,2012,고령보행자사고,25,0.26,5,0.52,20.0,20,0.23,9515,959,8651
홍천군,2012,뺑소니사고,13,0.11,0,0.0,0.0,21,0.11,11452,234,18261
홍천군,2012,무면허사고,13,0.16,1,0.27,7.69,17,0.14,8185,365,11867
화천군,2012,전체사고,95,0.04,5,0.09,5.26,176,0.05,223656,5392,344565
화천군,2012,어린이사고,7,0.06,0,0.0,0.0,11,0.07,12497,83,15485
화천군,2012,고령자사고,17,0.06,1,0.05,5.88,19,0.06,28185,1864,29699
화천군,2012,보행자사고,11,0.02,0,0.0,0.0,11,0.02,51044,2027,51693
화천군,2012,자전거사고,1,0.03,0,0.0,0.0,2,0.05,3547,101,3680
화천군,2012,야간사고,25,0.02,0,0.0,0.0,45,0.03,107127,2805,165925
화천군,2012,어린이보행사고,2,0.04,0,0.0,0.0,2,0.04,5247,54,5347
화천군,2012,고령운전자사고,14,0.09,1,0.14,7.14,29,0.13,15190,718,22043
